session_id,ambient,coolant,speed,torque,voltage_d,voltage_q,current_d,current_q,yoke,tooth,winding,magnet
29,21.6974,18.6377,1695.1782,46.7072,-38.3526,79.4734,-13.5576,64.1535,25.3612,29.1003,30.4558,40.7401
29,22.8588,19.0766,4629.7055,77.0204,-127.9008,27.9447,-191.1578,79.7479,55.0435,80.2992,104.7912,88.8735
29,22.1413,18.9515,5969.2675,32.6557,-81.5468,99.5513,-138.5001,35.6667,43.5653,61.7912,78.1211,73.0731
29,22.5967,19.0901,4229.865,85.9529,-128.1608,27.6734,-192.0099,89.1273,53.3228,78.7067,103.2161,83.4816
8,23.5483,18.3875,1499.9876,102.8855,-64.3839,63.0738,-43.5141,132.6169,31.5253,38.9781,45.9864,44.1867
8,23.8336,18.8975,1499.9852,-0.0233,-0.2458,73.4968,-2.0,1.0969,22.1461,23.5936,23.5157,30.7673
24,25.2165,19.5212,5499.9473,63.4621,-129.6395,9.6252,-201.7934,64.9833,61.8103,93.0868,123.0403,113.1799
24,23.7737,18.9082,5499.9461,-0.2966,-8.1405,129.7511,-107.8276,0.6397,35.8393,46.3879,56.2844,58.6026
20,23.2098,18.3879,3499.9677,66.8786,-93.3057,92.6472,-104.5799,77.392,33.6662,43.1195,52.5443,45.2336
20,24.1682,19.1318,4499.954,81.5968,-129.9717,17.8589,-200.9025,84.1175,57.4756,84.6167,113.1317,92.43
20,24.426,18.6674,4499.9536,20.0921,-42.6842,124.3694,-91.6993,24.5094,32.7456,41.6781,45.9862,52.1263
20,23.5253,18.5004,375.5171,20.9406,-4.33,19.3099,-4.8362,30.0557,19.9496,22.6702,23.4392,42.6225
20,23.7531,18.4255,2750.1431,-0.7693,-0.8745,131.2104,-1.9951,1.0906,25.4414,28.8988,27.8825,36.9178
20,25.4373,18.7583,5749.9396,43.518,-100.0358,81.8857,-149.949,47.0319,45.982,65.5878,84.5771,77.0979
20,25.4847,18.9027,5749.9372,60.0213,-129.1369,18.7826,-195.6606,61.8427,59.8872,90.6131,120.6482,105.8991
20,25.0861,18.4041,1249.9846,115.0296,-58.9798,51.4251,-50.7148,146.6778,33.6448,42.756,52.5644,53.0392
20,24.8798,22.1838,0.2728,1.4886,0.8532,-0.9245,-2.0027,1.1185,19.4402,19.8017,19.8506,38.4201
20,26.4888,65.0244,2249.9749,84.0587,-83.8984,93.3753,-35.4307,114.3952,71.0848,77.0686,83.6043,67.006
20,26.6908,64.8028,599.9877,35.4367,-11.1514,29.1914,-9.1246,50.7635,64.092,64.9702,66.7809,62.0056
20,26.8219,64.5274,150.4542,0.4177,1.3625,6.5022,-2.0041,1.1328,62.289,62.0662,62.9072,57.7869
20,28.0099,65.098,5249.6744,14.9416,-39.5891,125.2141,-101.0155,18.3107,72.1233,82.3826,90.6221,83.3929
20,26.4015,16.3071,3299.9605,100.3407,-120.6284,52.0491,-153.487,109.0441,45.9862,65.3417,83.5242,80.5081
15,25.3213,18.7592,3999.9565,93.4867,-129.9963,15.68,-203.6017,96.6363,58.1964,85.0604,113.4841,94.504
15,24.2304,18.9704,3999.9563,-0.5767,-3.8458,131.8032,-67.9987,1.1048,29.0589,34.8646,37.2791,42.3684
14,23.6122,18.6232,2999.968,99.9056,-111.9416,69.3152,-124.2713,113.0706,39.4523,53.3468,67.0141,59.1275
14,23.4427,18.2106,2999.967,-0.5757,-2.0482,132.0037,-17.6284,1.3425,25.6259,29.3841,28.4346,36.5444
16,24.236,18.5336,749.9852,139.0613,-40.7626,31.0296,-65.9642,172.975,35.6086,45.3196,58.9063,46.9569
16,23.6787,18.4835,749.9912,0.202,-0.071,37.0682,-2.0003,1.0972,19.8496,19.8549,21.4052,29.0987
36,19.722,19.2572,60.2376,10.9431,-0.5324,4.0338,-2.9799,15.7737,19.1323,19.3044,19.8506,26.516
36,19.8479,18.8457,300.0951,10.7496,-2.1236,15.6831,-2.9794,15.7744,19.554,19.8404,19.8506,29.0033
36,19.8506,18.7,600.6335,10.7001,-3.8726,30.1517,-2.98,15.7745,19.8504,19.8544,21.5242,31.0049
36,19.8506,18.5733,900.3258,10.9265,-5.7372,44.6042,-2.9858,15.8168,19.8506,21.8906,22.3951,30.5935
36,19.852,18.569,1200.0283,10.8673,-7.5649,58.8516,-2.9805,15.78,21.912,23.3811,23.6855,33.696
36,19.9455,18.5446,1500.4619,10.8474,-9.4649,73.1449,-2.985,15.8097,22.8063,24.8057,24.8027,34.3305
74,26.3424,56.6142,0.5424,0.0,1.891,-1.7055,-2.0006,1.0971,51.0601,51.2862,52.5847,63.4748
74,26.5539,79.5611,0.5801,-0.0,3.2607,-0.1791,-2.0003,1.0973,72.1434,72.1217,72.1452,63.7045
74,27.5657,54.8719,0.4075,0.0,0.3872,-2.1595,-2.0007,1.097,53.2132,53.4696,54.867,64.5641
74,27.9911,54.8871,0.0,0.0,2.418,0.7846,-2.0006,1.0971,55.8958,57.4929,58.8778,79.0833
75,24.637,76.4037,0.2522,0.0,0.8835,1.3208,-2.0006,1.0971,68.9227,68.8142,69.8437,65.0541
75,25.1093,28.189,0.2592,0.0,0.4427,-2.117,-2.0006,1.0971,29.8669,31.3445,32.2488,69.0348
41,24.266,37.9329,499.9969,150.0,-30.2192,20.7269,-79.9411,188.4116,59.5176,71.646,86.8027,70.5859
41,23.8067,30.7201,1499.2249,150.0,-86.4666,52.5118,-79.9461,188.4097,55.7321,70.2451,85.7265,70.8692
41,24.1009,24.1802,999.9914,175.0,-64.7042,33.7122,-99.2159,216.0511,52.3562,68.6699,88.9268,69.5878
41,23.7946,23.606,3499.9688,100.0,-124.7065,40.6339,-172.6773,107.1392,54.0408,72.2993,93.9031,77.5062
41,23.3433,23.9438,-0.0001,0.0,2.9593,0.2508,-2.0006,1.0972,25.5737,26.3578,26.3937,57.4384
68,27.9901,26.9273,0.0012,-0.0,2.2788,-1.7363,-2.0007,1.0974,29.5737,31.2765,31.855,61.2991
81,24.8549,85.6146,-0.0001,-0.0,-0.7142,-0.6305,-2.0007,1.0973,80.3103,79.4602,81.451,58.58
80,25.254,79.5088,-0.0006,-0.0,-0.7281,-0.4482,-2.0007,1.0973,75.4374,74.9184,76.1336,67.8832
70,26.3126,29.7747,0.0001,0.0,3.2795,-0.5702,-2.0005,1.0971,28.7156,28.8396,29.3628,42.977
45,23.3625,85.9787,1000.5561,50.0,-24.6591,46.1538,-15.4952,70.7949,82.3856,83.6066,85.2269,62.7205
45,24.6775,86.0957,1499.9884,50.0,-36.8684,67.7325,-15.4963,70.7957,83.5179,84.3278,86.7111,64.214
45,24.0643,86.0803,2000.1142,50.0,-48.7788,89.4181,-15.4955,70.7953,83.7275,85.019,87.4524,65.8193
45,25.0185,86.0855,2499.9797,50.0,-60.5473,111.2586,-15.4004,70.6028,84.5173,86.1522,88.7752,68.7579
45,24.8505,86.108,3500.2793,50.0,-76.1056,107.0878,-74.6317,61.1902,87.2396,91.616,96.8919,77.5362
45,25.0278,86.0877,4000.2447,50.0,-83.983,100.7139,-97.6108,58.257,89.1722,95.1263,103.0312,81.4313
45,25.7221,85.8005,999.5633,0.0,-0.9615,47.0004,-2.0005,1.0972,82.7941,83.6083,84.3852,79.1018
45,24.9426,66.9692,999.6695,0.0,-0.7723,48.2394,-2.0006,1.0972,65.5865,65.596,67.0836,67.0339
45,24.7855,29.0486,1499.7448,50.0,-37.4776,69.4303,-15.497,70.7949,35.9823,39.4523,41.7831,54.0186
45,24.5513,28.9335,499.4285,25.0,-7.0519,24.9786,-6.3713,36.9361,32.2236,33.8732,35.4005,51.1191
45,24.809,28.9667,0.0003,0.0,2.0206,1.0665,-2.0007,1.097,29.2388,29.8065,30.4578,45.9243
76,26.0253,78.71,0.4372,0.0,3.2907,-0.6769,-2.0004,1.0972,72.1213,72.1216,72.1401,63.936
76,26.3999,34.959,0.4836,-0.0,-0.2521,0.828,-2.0003,1.0974,28.7256,29.3536,29.9896,52.2772
73,25.5939,42.3928,-0.0009,0.0,1.8418,1.1683,-2.0007,1.0971,41.9376,42.7605,43.3549,61.8475
62,24.2155,28.1558,-0.0014,-0.0,0.3844,1.1557,-2.0005,1.097,26.5551,26.4505,27.9934,30.7892
65,26.3845,26.0622,0.0824,-0.0,2.7487,0.4585,-2.0005,1.0974,26.6333,27.9694,29.5543,39.4464
63,26.3372,91.0298,0.0006,0.0,2.3189,-1.6639,-2.0008,1.0969,85.9971,85.7131,86.977,69.2499
43,22.9076,34.504,999.9925,0.0,-0.6597,49.3412,-2.0007,1.0972,36.4769,38.0962,38.5213,51.0052
43,23.2807,18.8709,-0.001,0.0,-0.4635,0.6846,-2.0003,1.0975,19.8492,19.8507,21.3427,41.8731
66,25.9008,80.4855,0.6823,0.0,-0.6314,-0.7945,-2.0008,1.0968,76.132,75.4436,77.0201,57.0746
66,26.3844,69.1622,0.0003,-0.0,-0.5937,0.4718,-2.0005,1.0973,66.4474,67.1474,68.6272,75.6709
42,25.7997,29.6076,1499.9877,100.0,-63.9251,63.0805,-43.5128,132.618,39.1776,45.417,52.5525,37.9462
42,26.3504,29.5967,2499.9763,50.0012,-60.5892,115.242,-15.3911,70.5836,36.1668,39.4523,41.9712,41.7704
42,26.3845,29.6063,3499.9674,25.0278,-42.3368,124.4396,-56.8715,32.3172,36.177,39.4696,42.8135,43.2086
42,26.3845,29.4667,999.5062,125.0,-51.0054,40.739,-58.918,161.7457,43.2396,52.5569,62.3259,47.1781
42,25.8241,70.523,3999.9604,25.0019,-47.3784,122.5593,-73.6653,31.2607,72.0697,75.9135,80.1617,62.9719
42,25.3947,70.5374,3499.9634,49.9534,-75.6743,107.3869,-76.6449,60.9274,72.2342,78.7324,83.9703,67.9223
42,25.0983,49.8062,1999.9809,25.0009,-27.0578,93.4329,-6.3716,36.9378,53.3559,56.4735,57.4792,61.4485
42,25.9181,49.761,1999.9802,124.9696,-100.8711,75.4395,-58.6927,161.5425,65.9251,78.7067,89.811,72.5952
42,25.5504,49.815,2500.1896,50.0,-61.4684,113.0933,-15.3559,70.526,56.2099,61.0835,63.0466,65.3625
42,25.71,49.8224,2999.1994,50.0,-67.6777,112.7062,-49.744,64.6647,55.9466,60.6868,63.8062,61.7848
42,25.4959,49.7731,1499.9883,50.021,-37.228,68.7216,-15.5052,70.8217,53.0974,56.1889,58.3897,58.2839
42,25.3336,49.7879,1499.9837,99.995,-64.3379,61.7569,-43.507,132.6121,59.0145,65.5717,72.1211,60.5336
67,26.1763,26.9965,0.0003,-0.0,2.5407,-0.9696,-2.0005,1.097,26.384,26.3845,27.8475,41.2177
44,24.1225,39.957,1499.9885,125.0,-75.8076,58.526,-58.9179,161.7461,54.0657,63.6396,74.3136,53.7526
44,23.7758,49.8855,0.0161,0.0,0.3772,-2.2669,-2.0006,1.0971,45.9861,45.9862,46.0081,49.713
44,24.3794,49.8824,999.9918,25.0,-13.6583,48.0408,-6.3712,36.937,49.3005,49.7008,50.7968,48.7912
44,23.8784,49.9184,3999.9676,25.0119,-47.2104,122.5511,-76.1454,31.1855,54.2186,59.0844,62.8302,54.3819
44,24.5487,90.9641,499.9955,0.0,0.0379,23.6169,-2.0006,1.0968,85.2619,84.5133,85.2676,60.7543
44,24.4118,91.1182,5000.0,0.0,-7.3305,130.3391,-89.3261,0.8151,91.1945,95.6761,102.0238,79.5595
44,24.8049,91.1238,5499.2019,0.0,-8.3604,129.0409,-99.9627,0.4107,92.5263,98.2573,104.7912,84.5008
44,24.9206,91.0568,3999.1901,0.0,-4.6193,131.4911,-57.7164,1.1105,90.0771,92.214,95.0587,81.1037
44,24.9375,38.4276,3999.9627,24.9766,-47.5035,122.4688,-76.0986,31.1217,45.9926,54.0956,57.6592,59.7271
44,24.8033,38.3758,0.5687,0.0,3.3423,-0.8682,-2.0002,1.0972,37.8251,37.8011,38.6665,45.5433
44,24.7668,30.0533,1499.9899,125.0,-75.9416,58.7341,-58.9204,161.7443,45.9383,55.8595,66.0431,52.2425
44,24.0922,30.0654,1999.9848,75.044,-68.6482,87.4762,-28.7352,102.6265,39.4824,45.9862,51.2773,51.9163
44,24.2073,30.086,2499.9785,100.0,-100.5071,84.8526,-75.3969,123.3605,44.8517,53.7907,61.8028,54.1422
79,25.5617,46.4452,0.3473,0.0,0.3699,-2.0484,-2.0006,1.097,45.7197,45.9836,45.9862,62.6546
79,26.0041,52.6662,0.2922,0.0,2.129,-1.722,-2.0003,1.0974,52.4352,52.5711,53.2261,67.2532
79,26.3845,81.4884,1979.1903,-45.2517,42.6306,83.876,-12.0285,-61.8836,81.1819,83.4203,85.1538,74.1276
60,26.3808,24.8445,0.0267,-0.0,0.7634,-2.1643,-2.0005,1.097,27.5703,29.0965,29.8042,60.7931
78,25.712,67.4082,0.6318,0.0,0.4477,1.2351,-2.0004,1.0971,64.4532,64.0703,64.8596,56.9141
78,25.6501,80.6308,-0.0004,0.0,1.52,1.3449,-2.0004,1.0971,76.8997,76.0963,78.7067,65.3267
